Town,sq_mtrs,Bedrooms,Bathrooms,Price
Dagoretti,100.0,3.0,2.0,85000.0
Dagoretti,4.0,4.0,4.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,4.0,110000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,4.0,4.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,158.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,12.0,2.0,2.0,100000.0
Dagoretti,23.0,3.0,3.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2024.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,124.0,2.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,2.0,2.0,3.0,100000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,4.0,4.0,4.0,90000.0
Dagoretti,2.0,2.0,1.0,70000.0
Dagoretti,4.0,4.0,5.0,90000.0
Dagoretti,160.0,3.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,60000.0
Dagoretti,1.0,1.0,1.0,60000.0
Dagoretti,1.0,1.0,1.0,60000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,158.0,3.0,3.0,100000.0
Dagoretti,125.0,2.0,2.0,75000.0
Dagoretti,51.0,1.0,1.0,60000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,60000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,2.0,67500.0
Dagoretti,3.0,3.0,2.0,68000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,2.0,2.0,2.0,68000.0
Dagoretti,100.0,1.0,1.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,111.0,2.0,2.0,65000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,186.0,4.0,4.0,100000.0
Dagoretti,1.0,1.0,1.0,65000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,3.0,70000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,102000.0
Dagoretti,2.0,2.0,3.0,100000.0
Dagoretti,3.0,3.0,2.0,60000.0
Dagoretti,86.0,1.0,2.0,105000.0
Dagoretti,2.0,2.0,1.0,60000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,65000.0
Dagoretti,1.0,1.0,1.0,65000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,105000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,105.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,3.0,3.0,2.0,60000.0
Dagoretti,2.0,2.0,2.0,60000.0
Dagoretti,2.0,2.0,2.0,60000.0
Dagoretti,90.0,1.0,1.0,110000.0
Dagoretti,3.0,3.0,2.0,110000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,2.0,58000.0
Dagoretti,250.0,3.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,14.0,2.0,3.0,100000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,65000.0
